Batman Begins,"28,80,18"
Ink,"28,14"
Screamers: The Hunting,"28,27,878"
The Haunted World of El Superbeasto,"16,27,28,35"
Neuilly Yo Mama!,35
Tidal Wave,"28,12,18,53"
American Virgin,35
My One and Only,"35,18"
The Misfortunates,"18,35"
Nativity!,"35,10751"
The Messengers 2: The Scarecrow,27
Cold Souls,"35,18,14,878"
Blood Creek,"27,53"
Shrink,"35,18"
I Hope They Serve Beer in Hell,"35,18"
Woochi: The Demon Slayer,"12,28,35,14"
Tanner Hall,18
Amore 14,35
La matassa,35
The Devil's Tomb,"28,27,53,878"
Wickie the Viking,"35,10751,28,12"
Tellement proches,35
Watchmen: Tales of the Black Freighter,"16,27,28"
Wrong Turn at Tahoe,"28,80,18,53"
Io & Marilyn,35
Detective Conan: The Raven Chaser,"16,80,9648,53"
The Vicious Kind,"35,18"
Round Da Way,"16,35"
Un'estate ai Caraibi,35
Mulan: Rise of a Warrior,"12,18,28"
Coco,35
Me and Orson Welles,"35,18,10749"
The Lodger,"27,9648,53,18"
Serious Moonlight,"28,35,10749"
Best Worst Movie,"99,35"
Space Buddies,"35,12,18,10751"
Cyprien,35
Welcome,"18,10749"
Forget Me Not,"18,27,10749"
The Courageous Heart of Irena Sendler,"18,10752"
The Slammin' Salmon,35
Night of the Demons,27
If I Were You 2,35
Gentlemen Broncos,"28,35,53"
Lilly the Witch The Dragon and the Magic Book,"14,10751,35"
Balls Out: The Gary Houseman Story,35
Vennila Kabadi Kuzhu,"18,35,10749"
MegaFault,"10770,28,12,878"
Driven To Kill,"28,12,53"
The September Issue,99
The Winning Season,35
Mother and Child,"18,10749"
Behind Enemy Lines III: Colombia,"10752,28,53"
Questo piccolo grande amore,
Into the Blue 2: The Reef,28
Cropsey,"9648,99,27,80"
The First Star,35
44 Inch Chest,"18,80"
The Greatest,18
Dare,"18,10749,35"
Undertow,"18,10749"
Not Forgotten,53
Alma,"16,14,9648"
Hardwired,"28,12,878,53"
Mao's Last Dancer,"18,10749"
Laid to Rest,"53,27"
A Town Called Panic,"12,16,35,10751,14"
Alabama Moon,"28,12,18,10751"
Children of the Corn,"18,27,53"
Nora Roberts’ Northern Lights,"10770,18,9648,10749"
Happy End,"18,878"
Logorama,16
Against the Dark,"27,28,53,878"
Babysitter Wanted,"27,53"
Personal Effects - The Space Between Loss and Love,18
Crash Point: Berlin,18
Leaving,"18,10749"
The Open Road,"35,18,10749"
George & A.J.,"16,10751"
Spanish Movie,35
I Can Do Bad All By Myself,"18,35"
Bionicle: The Legend Reborn,"28,12,16,10751,878"
The Founding of a Republic,"18,36"
Hallelujah!,35
Accident,"28,18,53"
B.O.B.'s Big Break,"16,12,28,35"
Daniel & Ana,"53,18"
Run! Bitch Run!,"27,53"
From Time to Time,"12,14,18"
Breathless,"80,18"
Dark Country,"80,27,53"
Tresor,35
The Canyon,53
Kaminey,"28,80,18"
Change of Plans,"35,10749"
Men in the City,35
Night Train,"53,28,80"
Grace,"27,53"
The Six Wives of Henry Lefay,35
Motherhood,"35,18"
Jack and the Beanstalk,"12,35,10751,14"
Triage,"18,53,9648"
Nora Roberts' Midnight Bayou,"18,10749,10770"
Amer,"53,27"
The Door,"14,53,878,9648"
Grotesque,"27,53"
Tormented,"27,35"
Across the Hall,"53,9648,10749"
Mammoth,"18,10749"
Farewell,"53,18"
The Cuckold,18
Possession,53
Death Note Relight 1: Visions of a God,"10770,80,18,14,53,16"
Taking Chance,"18,36,10752"
His Name Was Jason: 30 Years of Friday the 13th,"99,27"
Mystery Team,"35,53,9648"
Dolan's Cadillac,"18,53"
Big Fan,"35,18"
Paper Heart,"35,18,10749"
The Storm Warriors,"28,12,14"
Streets of Blood,"28,80,18"
Objectified,99
Endgame,"80,18"
Paintball,"53,28"
Glorious 39,"10752,18,36,53"
Damage,"28,53"
Naan Avan Illai 2,"35,28,10749"
Wake Up Sid,"10749,18,35"
In the Beginning,18
Army of Crime,"10752,18,36"
Generation 1000 Euros,35
The Shortcut,"9648,27,53"
Long Weekend,"53,18,27"
Oggi sposi,35
Fear Island,"27,53,9648"
The Bone Man,"80,53,35"
My Girlfriend Is an Agent,"35,28"
Coco Chanel & Igor Stravinsky,"18,10749"
The Answer Man,"35,10749"
Billu,"35,18"
The Crocodiles,"12,10751"
A Dog Year,"35,18"
Super Rhino,"16,35"
Still Waiting...,35
Nine Miles Down,"27,9648,53"
Dev.D,"35,18,10749"
The Keeper,"28,53"
Elsewhere,"80,18,53"
Ultimate Heist,"28,12,53"
Professor Layton and the Eternal Diva,"10751,16"
Vincere,"18,36"
Hunter Prey,"878,53"
A Dangerous Man,"80,28,12,53"
Make the Yuletide Gay,"18,35,10749"
Goemon,"28,18,14"
Overheard,"18,53"
The Life Coach,35
Red Sands,"28,12,18,10752,27"
Dead Man Running,"28,80,18,53"
Technotise: Edit & I,"16,878,53"
Grey Gardens,"18,36,10770"
Collapse,99
Adrift,18
Next Day Air,"28,35,80"
The River's Light,16
Iron Maiden: Flight 666,"99,10402"
Women in Trouble,"35,18"
The Terminators,"28,27,878"
King of Thorn,"14,16,878"
I Give My First Love to You,"18,35,10749"
Pure,18
Tenderness,"80,18,53"
Under the Sea 3D,99
Winnebago Man,"35,99"
"Give 'em Hell, Malone","28,80,9648,53"
Life During Wartime,"35,18"
Recep İvedik 2,35
Wanted,"28,35,80,53"
The Butterfly Circus,18
Prep & Landing,"16,14,10751"
"Doraemon: The New Record of Nobita, Spaceblazer","16,12,10751"
My Rainy Days,"18,10749"
Baby on Board,"35,10749"
Special Correspondents,35
The Cell 2,"27,878,53"
High Noon,"18,10749"
Leningrad,"10752,18"
The Way of War,"28,53"
Trailer Park Boys: Countdown to Liquor Day,"35,80"
Without a Paddle: Nature's Calling,"28,12,35"
Oscar and the Lady in Pink,18
Jim Jefferies: I Swear to God,35
"Nightmares in Red, White and Blue","99,27"
Virtuality,878
Garfield's Pet Force,"16,35,10751"
ZMD: Zombies of Mass Destruction,27
Perkins' 14,"27,53"
Love at First Hiccup,"35,10749"
Ajab Prem Ki Ghazab Kahani,"10749,35,28"
Falling Up,"35,18,10749"
London River,"18,9648"
Hunger,27
Hear Me,"10749,18"
Cherrybomb,"18,10749,53"
Mrs. Miracle,"35,14,10749,10770"
Feast III: The Happy Finish,"27,28,35,53"
Table for Three,"35,10749"
Rocket Singh: Salesman of the Year,"18,35,10749"
Good Hair,"35,99"
The Wild Chicks and Life,"35,10751"
The Sniper,"28,53"
The Temptation of Kimono,"18,10749"
The City of Your Final Destination,18
Will Ferrell: You're Welcome America - A Final Night with George W. Bush,35
LelleBelle,"10402,10749"
Inception,"28,53,878,9648,12"
Iron Man 2,"12,28,878"
Harry Potter and the Deathly Hallows: Part 1,"12,14,10751"
How to Train Your Dragon,"14,12,16,10751"
Despicable Me,"16,10751,35"
The Expendables,"53,12,28"
Shutter Island,"18,53,9648"
Alice in Wonderland,"10751,14,12"
The A-Team,"53,28,12,35,80"
Nanny McPhee and the Big Bang,"35,14,10751"
Tangled,"16,10751"
Room in Rome,"18,10749"
Life As We Know It,"35,10749,18"
Toy Story 3,"16,10751,35"
Percy Jackson & the Olympians: The Lightning Thief,"12,14,10751"
Kick-Ass,"28,80"
Black Swan,"18,53"
The Twilight Saga: Eclipse,"12,14,18,10749"
Prince of Persia: The Sands of Time,"12,14,28,10749"
Megamind,"16,28,35,10751,878"
Easy A,35
TRON: Legacy,"12,28,878"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"12,10751,14"
Saw: The Final Chapter,"27,80"
Robin Hood,"28,12,18"
Shrek Forever After,"35,12,14,16,10751"
Faster,"80,18,28,53"
The Other Guys,"28,35,80"
The King's Speech,"18,36"
The Social Network,18
The Last Airbender,"28,12,10751,14"
Unstoppable,"28,53"
Salt,"28,9648,53"
I Spit on Your Grave,"53,80,27"
The Town,"80,18,53"
Insidious,"27,53"
Scott Pilgrim vs. the World,"28,35,10749"
Frozen,53
Predators,"28,878,12,53"
The Last Song,"18,10751,10749"
The Sorcerer's Apprentice,"14,12,28,35,18"
Tooth Fairy,"35,10751,14"
True Grit,"18,12,37"
127 Hours,"12,18,53"
The Tourist,"28,53,10749"
The Secret World of Arrietty,"14,16,10751"
The Wolfman,"18,27,53,14"
RED,"28,12,35,80,53"
Tinker Bell and the Great Fairy Rescue,"16,12,10751,14"
Machete,"28,35,53"
The Karate Kid,"28,12,18,10751"
Clash of the Titans,"12,14,28"
Eat Pray Love,18
Three Steps Above Heaven,"10749,18"
Death Race 2,"28,53,878"
Date Night,35
Arthur 3: The War of the Two Worlds,"16,12,14,10751"
Camp Rock 2: The Final Jam,"35,10402,10770"
The Book of Eli,"28,53,878"
Undisputed III: Redemption,"28,53"
Tucker and Dale vs Evil,"35,27"
Due Date,"35,18"
Blue Valentine,"18,10749"
Takers,"28,80,18,53"
Grown Ups,35
Cop Out,"28,35,80"
The Crazies,"9648,27,28"
Edge of Darkness,"80,18,9648,53"
Jackass 3D,"35,99,28"
A Nightmare on Elm Street,"27,9648,53"
The Extraordinary Adventures of Adèle Blanc-Sec,"14,12,28,9648"
Love & Other Drugs,"18,35,10749"
Step Up 3D,"18,10749"
A Serbian Film,"80,27,53"
StreetDance 3D,"18,10402"
Burlesque,"18,10749"
Remember Me,"18,10749"
Legend of the BoneKnapper Dragon,"10770,16,14,10751"
Green Zone,"10752,28,12,18,53"
Legion,27
From Paris with Love,"28,80,53"
Winter's Bone,18
Dear John,"18,10749,10752"
Repo Men,"28,878,53,80"
Welcome to the South,35
Piranha 3D,"35,27"
Gulliver's Travels,"35,12,10751,14"
The Fighter,18
Don't Be Afraid of the Dark,"14,27,53"
Let Me In,"18,27,9648"
Troll Hunter,"14,27"
Leap Year,"10749,35"
Hot Tub Time Machine,"878,35,12"
True Legend,"28,14"
Superman/Batman: Apocalypse,"28,12,16,10751,878"
Enter the Void,"14,18"
Diary of a Wimpy Kid,"35,10751"
Batman: Under the Red Hood,"28,16,9648"
It's Kind of a Funny Story,"35,18"
Valentine's Day,"35,10749"
The Next Three Days,"10749,18,53,80"
The Losers,"28,12,80,9648,53"
The Switch,"35,10749,18"
The Ward,"27,53"
16 Wishes,"14,18,10751"
Last Night,"18,10749"
Justice League: Crisis on Two Earths,"28,12,16"
Legend of the Guardians: The Owls of Ga'Hoole,"16,12,10751,14"
The Way Back,"18,12,36"
She's Out of My League,"35,10749"
Loose Cannons,"35,18,10749"
"Family Guy Presents: Something, Something, Something, Dark Side","16,35,878"
Smokin' Aces 2: Assassins' Ball,"28,35,80,53"
Knight and Day,"28,35"
Eternity,"10749,18"
Monsters,"18,53,878"
Detective Dee and the Mystery of the Phantom Flame,"28,12,18,9648"
The Warrior's Way,"12,14,28,37,53"
13,"18,53"
Hesher,18
Buried,"18,53,9648"
Incendies,"18,10752,9648"
Centurion,"12,28,18"
Barbie in A Mermaid Tale,"16,10751,14"
Rabbit Hole,18
Vanishing on 7th Street,"9648,27,53"
A Turtle's Tale: Sammy's Adventures,"16,10751"
Starstruck,"35,10749,10770,10402"
Never Let Me Go,"18,10749,878"
The Bounty Hunter,"28,35,18"
Trust,"80,18,53"
The Kids Are All Right,"35,18"
The Boy Who Cried Werewolf,"10751,14,27,10770"
Senna,99
Letters to Juliet,"35,18,10749"
Little White Lies,"35,18"
The Last Exorcism,"27,18,53"
Natale in Sudafrica,
Vampires Suck,"35,27"
The Man from Nowhere,"28,53,80"
Yogi Bear,"35,10751,16,12"
London Boulevard,"18,80"
The Ghost Writer,"53,9648"
Elite Squad: The Enemy Within,"18,28,80"
We Are the Night,"14,18,27,10749"
Cats & Dogs: The Revenge of Kitty Galore,"35,10751,28,14"
Little Fockers,"35,10749"
The Cutting Edge: Fire & Ice,"18,10749"
"Tomorrow, When the War Began","28,12,18"
The Company Men,18
Avalon High,"10770,18,10751,14"
Paranormal Activity 2,"27,53"
Jonah Hex,"28,37,18,14,53"
When in Rome,"35,14,10749"
Beyond the Black Rainbow,"14,878,27"
Elena Undone,"18,10749"
Devil,"27,9648,53"
Nothing to Declare,35
You Will Meet a Tall Dark Stranger,"35,18,10749"
Going the Distance,"35,18,10749"
Get Him to the Greek,35
Barbie: A Fashion Fairytale,"10751,16"
Unthinkable,"18,53"
Outrage,"28,80,18"
Alpha and Omega,"16,10751,35,12,10749"
Sex and the City 2,"35,18,10749"
Flipped,"10749,18"
Of Gods and Men,"18,36"
Kung Fu Panda Holiday,"16,10751,10770"
Open Season 3,"12,16,10751,35"
You Again,"35,10749"
30 Days of Night: Dark Days,"27,53"
13 Assassins,"12,18,28"
Day & Night,"16,10751"
Fair Game,"18,53"
Hereafter,"18,14"
Scooby-Doo! Curse of the Lake Monster,"9648,14,35,12"
Heartbreaker,"10749,35"
The Experiment,"53,18"
The American,"80,18,53"
The Conspirator,"80,18,36"
Bunraku,"53,28,18"
Animal Kingdom,"18,53,80,9648"
Wall Street: Money Never Sleeps,"18,80"
Minions: Orientation Day,"16,35,10751"
Dog Pound,18
Another Year,"35,18"
Secretariat,18
The Spy Next Door,"28,35,10751"
Charlie St. Cloud,"18,10749"
Greenberg,"35,18,10749"
Skyline,"878,28"
Bloomington,"18,10749"
Animals United,"16,10751,35"
Somewhere,"35,18"
Planet Hulk,"16,28,878"
Rare Exports: A Christmas Tale,14
Exit Through the Gift Shop,99
Home Makeover,"16,35,10751"
Stone,"18,53"
TEKKEN,"80,18,28,53,878"
Julia's Eyes,"27,53"
Conviction,18
Extraordinary Measures,18
Morning Glory,"35,18,10749"
El Infierno,"18,80,35"
How Do You Know,"35,18,10749"
The Nutcracker in 3D,"10402,14,28,10751"
The Princess of Montpensier,"28,18,36,10749"
Superman/Shazam!: The Return of Black Adam,"16,28"
Dinner for Schmucks,35
Scared Shrekless,"16,35"
Banana,"16,35,10751"
Sorry if I Want to Marry You,"35,10749"
Stake Land,"18,27,878"
Altitude,"27,28,53,878"
Furry Vengeance,"35,10751"
Death at a Funeral,35
Confessions,"18,53,9648"
Wild Target,"28,35"
Biutiful,18
The Back-Up Plan,"35,10749"
In a Better World,18
The Killer Inside Me,"80,18,53"
Little Big Soldier,"28,35,12"
Cyrus,"35,18,10749"
Legend of the Fist: The Return of Chen Zhen,"18,28,36,53"
The Search for Santa Paws,"10751,12"
The Whistleblower,"18,53,80"
Ramona and Beezus,"35,10751"
And Soon the Darkness,"27,53,80,9648"
Black Death,"28,18,27,9648,53"
All Good Things,"18,9648,53,80,10749"
I'm Still Here,"10402,35,18"
My Soul to Take,"18,27,9648,53"
Marmaduke,"10751,35"
Temple Grandin,18
Cemetery Junction,"18,35"
Tamara Drewe,"35,10749"
You Don't Know Jack,18
Survival of the Dead,"27,878"
The Yellow Sea,"18,53,80"
The Trip,"35,18"
Hatchet II,"27,35,53"
Point Blank,"28,53,80"
Ong Bak 3,"28,12,36"
22 Bullets,"28,80,53"
Uncle Boonmee Who Can Recall His Past Lives,"35,18,14"
Henry's Crime,"80,35"
My Name Is Khan,"18,10749"
Made in Dagenham,"35,18,36"
Cold Fish,"18,53,80"
Country Strong,"18,10749,10402"
Four Lions,"35,80,18"
The Other Woman,18
Super,"35,28,18"
Twelve,"53,18,28,80"
Gainsbourg: A Heroic Life,18
The Reef,"18,27,53"
Just Wright,"35,18,10749"
Killers,"28,35,53,10749"
The Runaways,"18,10402"
A Cat in Paris,"16,35"
Meek's Cutoff,"18,37"
Peacock,"9648,53"
Sarah's Key,"18,10752"
The Last Circus,"28,18,53"
Catfish,99
Get Low,"35,18,9648"
BloodRayne: The Third Reich,"28,12,14,27"
Dirty Girl,"18,35"
Rubber,"35,18,14,27,9648"
Single By Contract,"10749,35"
Revenge of the Bridesmaids,"35,10749"
The Perfect Host,"35,53,80"
Certified Copy,"18,10749"
The Way,"12,35,18"
14 Blades,"18,28,53"
Casino Jack,"80,35,18"
Romantics Anonymous,"18,35,10749"
Inception: The Cobol Job,"16,28,53,878"
Arctic Blast,878
Inside Job,99
I Saw the Devil,"53,27"
King of Devil's Island,"18,28"
Four Lovers,10749
Everything Must Go,"35,18,10749"
The Shrine,27
Ca$h,"80,53,35,9648"
"Me, Them And Lara","35,18"
Dante's Inferno: An Animated Epic,"28,12,16,27"
Nine Dead,"80,18,27,9648"
Mother's Day,"80,53"
Boy,"18,35"
My Babysitter's a Vampire,"12,35,10751,14,10770,27"
The Round Up,"18,36,10752"
Naruto Shippuden the Movie: The Lost Tower,"12,28,16"
Red Hill,"28,53,37"
Beauty & the Briefcase,"10749,35"
The Women on the 6th Floor,35
The Romantics,"35,18,10749"
MacGruber,"28,12,35"
The Lost Future,"12,878"
Le Mac,35
Basilicata coast to coast,"35,18"
Sintel,"16,14"
The Disappearance of Haruhi Suzumiya,"35,878,9648,10749,16,18"
Daydream Nation,"18,10749"
The Perfect Date,"35,10749"
Camping 2,35
Barney's Version,"35,18"
The Illusionist,"16,18"
Red White & Blue,"18,53"
Student Services,18
The Housemaid,"53,18"
The Final,"53,27"
Shelter,"27,9648,53"
All That Glitters,35
Welcome to the Rileys,18
Trophy Wife,35
The Clink of Ice,"35,18"
Bereavement,"80,27"
Angel of Evil,"80,18"
Waiting for Forever,"18,10749"
I Don't Want to Go Back Alone,"18,10749"
Womb,"10749,878"
Mirrors 2,"27,9648,53"
Louis C.K.: Hilarious,35
Kaboom,"18,878,35,9648"
Happythankyoumoreplease,"35,10749,18"
The First Beautiful Thing,"35,18"
Bedevilled,"53,80,18,27"
Heartbeats,"18,10749"
High School,35
Hubble 3D,99
Doctor Who: A Christmas Carol,878
Space Battleship Yamato,878
The Names of Love,"18,35,10749"
Restrepo,"99,10752"
Hunt to Kill,"28,12,53"
Toast,"18,35,36,10751"
Men Vs Women,35
Operation: Endgame,"12,28,35,53"
New Kids Turbo,"28,35"
Burke & Hare,"35,53"
Fatal,35
Lying to Be Perfect,35
Colorful,"16,18,10751"
Titanic 2,"28,12,53"
Fortress of War,"10752,18,36,28"
My Afternoons with Margueritte,"18,35"
The Tortured,27
A Natale mi sposo,
Dragon Ball: Plan to Eradicate the Super Saiyans,"28,16,12"
4.3.2.1,"28,53,80,10749"
The Dead,"27,28,53,878"
The Client List,18
Scooby-Doo! Abracadabra-Doo,"16,35,10751,9648,14"
Easy Money,"18,53,80"
Mega Shark vs. Crocosaurus,"28,27,878"
Confucius,"18,36"
Cave of Forgotten Dreams,"99,10751"
Even the Rain,"18,36"
Paranormal Activity: Tokyo Night,"27,53"
Elektra Luxx,"35,18"
Third Star,18
Christmas Cupid,"10770,14,35,10749,10751"
The Family Complete,
Lost Boys: The Thirst,"28,12,35,27"
Stomp the Yard 2: Homecoming,"18,10402"
No Mercy,"80,53,28"
Norwegian Wood,"18,10749"
Kidnapped,"27,53"
Lottery Ticket,35
X,"28,53,10749"
Let the Bullets Fly,"28,35"
Scooby-Doo! Camp Scare,"16,35,10751"
Chain Letter,"27,53"
Reign of Assassins,"36,28"
Birdemic: Shock and Terror,"27,878"
The Solitude of Prime Numbers,18
Beneath Hill 60,"18,36,10752"
Chatroom,"18,53"
The Santa Claus Gang,35
Saint,"27,35"
Repeaters,"878,53,18,9648"
The Making of The Walking Dead,99
Exorcismus,"53,27"
Poetry,18
The Drawn Together Movie: The Movie!,"16,35"
Happy Family,35
Firebreather,"12,14,16,28,53,878,10751"
Mr. Nice,"35,80,18"
Never Sleep Again: The Elm Street Legacy,99
Sharktopus,"27,35,878,53,10770,28"
Kiss Me Again,35
Dream Home,27
The Italian,35
Harriet the Spy: Blog Wars,"35,18,10751,10770"
Free Willy: Escape from Pirate's Cove,"18,10751,12"
Game of Death,"12,28,53"
Letters to God,"18,10751"
Howl,18
Mardock Scramble: The First Compression,"53,16,28,18"
Flower & Snake 3,18
LEGO: The Adventures of Clutch Powers,"28,12,16,10751"
The Big Picture,53
The Assault,"28,53"
Milf,35
Shanghai,"18,9648,10749"
Tiny Furniture,"10749,35,18"
The Tree,18
The Bang Bang Club,"18,10749"
Carlos,"80,18,53,36"
Kevin Hart: Seriously Funny,35
Boy Wonder,"28,80,18,53"
Genitori & figli:) - Agitare bene prima dell'uso,35
Head Over Heels,35
Brighton Rock,"18,53,80"
What Men Talk About,35
Enthiran,"28,878"
Father of Invention,"35,18"
Please Give,"35,18"
When You're Strange,"99,10402"
The Tempest,"18,14"
Pokémon: Zoroark: Master of Illusions,"12,16,10751"
Lake Placid 3,"27,28,878,53"
Robot Chicken: Star Wars Episode III,"35,878,16"
13Hrs,"27,28"
Babies,99
Vincent Wants to Sea,18
Flicka 2,"12,18"
Our Family Wedding,35
YellowBrickRoad,"27,53"
Sherlock Holmes,"14,18,27,28,53,9648"
Dabangg,"28,35,80"
Chico & Rita,"16,10402,10749"
Seven Days,"18,27,53"
71: Into the Fire,10752
La nostra vita,18
Gasland,99
Hunting Season,"9648,80,18,53"
Prep & Landing Stocking Stuffer: Operation: Secret Santa,"16,10751"
The Pregnancy Pact,18
The Traveler,"27,53"
Tabloid,99
Giallo,"80,27,9648,53"
Jack Goes Boating,"35,18,10749"
Hole in One,35
Inhale,"18,28,53"
The Silent House,"18,27,9648,53"
Triple Dog,"18,53"
Abandoned,"18,9648,53"
Udaan,18
White Material,18
Astral City: A Spiritual Journey,18
Paris Express,"35,28,80"
Beautiful Lies,"35,10749"
With Love... from the Age of Reason,"35,10749"
Den Brother,"10770,10751"
Come Undone,"35,18,10749"
Atrocious,"27,53"
I Hate Luv Storys,"35,18,10749"
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,35
Mammuth,35
Our Day Will Come,"18,35"
The Chameleon,"18,9648,53"
DC Showcase: Jonah Hex,"16,28,37"
The Silence,"80,18,53"
I'm Here,18
Essential Killing,"53,10752"
Growth,"27,878,53"
The Infidel,"35,18"
Triassic Attack,"27,878,10770"
Shank,"28,18,53"
A Quiet Life,18
Space Chimps 2: Zartog Strikes Back,"16,10751"
The Extra Man,35
Sauna,27
FRED: The Movie,"35,10751,10770"
Donkey's Christmas Shrektacular,"14,16,18,35,878,10751"
Detective Conan: The Lost Ship in the Sky,"28,16,12,80"
Time of Eve: The Movie,"16,878,10749"
Aftershock,18
Gun,"28,53"
Crayon Shin-chan: Super-Dimmension! The Storm Called My Bride,"16,35,10751"
Bleach: Hell Verse,"28,35,16"
Mega Piranha,"28,12,27,878"
